id	line	column	filename	methodname	varname	vartype	else	return	right
463	137	16	BasicFuseableConditionalSubscriber.java	transitiveBoundaryFusion	m	int	0	DEF	$ != NONE
986	57	8	BasicFuseableObserver.java	onSubscribe	THIS	BasicFuseableObserver	0	DEF	$.DisposableHelper.validate($.s, s)
986	57	8	BasicFuseableObserver.java	onSubscribe	s	Disposable	0	DEF	DisposableHelper.validate(this.s, $)
987	60	12	BasicFuseableObserver.java	onSubscribe	s	Disposable	0	DEF	$ instanceof QueueDisposable
988	64	12	BasicFuseableObserver.java	onSubscribe	THIS	BasicFuseableObserver	0	DEF	$.beforeDownstream()
989	95	8	BasicFuseableObserver.java	onError	THIS	BasicFuseableObserver	0	RET	$.done
990	115	8	BasicFuseableObserver.java	onComplete	THIS	BasicFuseableObserver	0	RET	$.done
991	134	8	BasicFuseableObserver.java	transitiveBoundaryFusion	qs	QueueDisposable<T>	0	RET	$ != null
992	135	12	BasicFuseableObserver.java	transitiveBoundaryFusion	mode	int	0	RET	($ & BOUNDARY) == 0
993	137	16	BasicFuseableObserver.java	transitiveBoundaryFusion	m	int	0	DEF	$ != NONE
478	58	8	BasicFuseableSubscriber.java	onSubscribe	THIS	BasicFuseableSubscriber	0	DEF	$.SubscriptionHelper.validate($.s, s)
478	58	8	BasicFuseableSubscriber.java	onSubscribe	s	Subscription	0	DEF	SubscriptionHelper.validate(this.s, $)
479	61	12	BasicFuseableSubscriber.java	onSubscribe	s	Subscription	0	DEF	$ instanceof QueueSubscription
480	65	12	BasicFuseableSubscriber.java	onSubscribe	THIS	BasicFuseableSubscriber	0	DEF	$.beforeDownstream()
